# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄍㄢ	感 幹 乾 趕 敢 干 肝 甘 桿 竿 尷 橄 杆 柑 淦 紺 咁 稈 贛 矸 酐 坩 榦 泔 玕 疳 乹 亁 倝 尲 尶 擀 旰 檊 澉 灨 筸 苷 虷 贑 骭 鱤
ㄍㄣ	跟 根 亙 艮 哏 茛
ㄍㄤ	剛 港 鋼 綱 崗 岡 缸 扛 槓 肛 摃 杠 釭 冮 堈 堽 戇 疘 笐 罁 罡 舡 鿍
ㄍㄥ	更 耕 頸 庚 梗 耿 羹 賡 哽 焿 埂 鯁 㹴 浭 畊 絚 綆 緪 羮 郠 骾 鶊
ㄍㄨ	故 古 股 顧 鼓 估 固 骨 谷 孤 姑 雇 辜 僱 穀 賈 菇 咕 呱 榖 蠱 鈷 梏 錮 箍 沽 牯 罟 盬 詁 鵠 瞽 鴣 嘏 轂 汩 痼 觚 酤 凅 牿 罛 羖 蛄 鶻 唂 唃 堌 崓 崮 扢 榾 泒 濲 瀔 皷 祻 箛 臌 菰 蓇 蛌 軱 軲 餶 鯝 𦙶
ㄎㄚ	卡 咖 喀 佧 咔 胩 鉲
ㄎㄜ	可 科 客 課 克 刻 顆 柯 殼 棵 渴 咳 苛 峇 剋 瞌 坷 珂 磕 嗑 窠 恪 軻 蝌 溘 痾 嵙 緙 頦 薖 尅 岢 愙 搕 榼 氪 炣 牁 砢 礚 稞 簻 衉 趷 鈳 錁 騍 髁
ㄎㄞ	開 凱 豈 慨 楷 愷 揩 愾 鎧 愒 欬 闓 剴 嘅 塏 炌 烗 鍇 鐦 颽
ㄎㄟ	剋
ㄎㄠ	考 靠 烤 拷 尻 銬 犒 攷 栲 熇 丂 薧
ㄎㄡ	口 扣 寇 摳 叩 釦 蔻 佝 㓂 宼 彄 怐 敂 瞘 筘 簆 芤 鷇
ㄎㄢ	看 刊 堪 砍 勘 檻 嵌 坎 侃 崁 瞰 戡 龕 衎 闞 磡 轗 鬫 偘 凵 埳 墈 栞 欿 歁 矙 莰 顑
ㄎㄣ	肯 墾 懇 啃 齦 掯 硍 肎 裉
ㄎㄤ	抗 康 扛 慷 亢 炕 糠 伉 匟 囥 槺 犺 穅 粇 鈧 閌 鱇
ㄎㄥ	坑 鏗 吭 硜 坈 牼 硻 誙 銵 阬
ㄎㄨ	苦 庫 哭 酷 褲 枯 窟 堀 骷 矻 刳 嚳 楛 圐 圣 絝 袴 跍
ㄏㄚ	哈 蝦 蛤 鉿
ㄏㄜ	和 合 何 核 河 喝 荷 嚇 盒 賀 赫 呵 鶴 褐 禾 劾 閡 闔 涸 壑 曷 訶 紇 覈 閤 暍 頜 盍 貉 翯 佫 翮 餲 龢 㪃 咊 嗃 嗬 垎 惒 欱 焃 猲 盇 盉 菏 蠚 郃 鉌 鞨 餄 魺 鶡 鸖 齕
ㄏㄞ	還 海 孩 害 駭 咳 骸 亥 嗨 氦 嗐 醢 咍 胲 餀
ㄏㄟ	黑 嘿 𨭆
ㄏㄠ	好 號 豪 毫 耗 浩 郝 昊 嚎 皓 壕 鎬 顥 濠 蠔 蒿 澔 嗥 灝 嚆 秏 薅 嘷 恏 昦 暠 淏 獋 皜 皞 薃 諕 譹 鄗
ㄏㄡ	後 候 厚 后 猴 侯 喉 吼 逅 鱟 齁 篌 餱 鍭 吽 垕 堠 犼 瘊 睺 矦 豞 郈 鄇 骺 鮜 鯸
ㄏㄢ	漢 含 韓 涵 寒 喊 函 汗 憾 罕 翰 旱 撼 捍 悍 瀚 憨 頇 酣 焊 鼾 歛 頷 銲 扞 蚶 暵 菡 邯 厂 撖 熯 㘚 㪋 唅 圅 垾 攼 晗 焓 猂 琀 甝 睅 蔊 螒 谽 豻 邗 釬 鋡 閈 雗 馯 駻
ㄏㄣ	很 恨 痕 狠 哏 佷 拫
ㄏㄤ	行 航 杭 夯 吭 桁 頏 沆 ㄏㄤ 筕 絎
ㄏㄥ	行 衡 橫 恆 亨 哼 恒 蘅 珩 桁 姮 堼 揘 胻 脝 鐄 鑅 鴴
ㄏㄨ	和 護 乎 戶 互 呼 湖 胡 忽 虎 糊 瑚 蝴 壺 狐 鬍 弧 滬 唬 葫 惚 琥 滸 囫 扈 醐 瓠 怙 祜 餬 斛 鵠 膴 鶘 岵 幠 戽 猢 笏 楛 槲 縠 鶻 䊀 乕 冱 唿 嘑 媩 嫭 嫮 戸 搰 昒 沍 滹 烀 煳 礐 芴 虍 虖 衚 觳 謼 軤 鄠 頀 鱯 鶦 鸌
ㄐㄧ	及 機 己 給 基 幾 紀 即 濟 技 級 極 居 積 繼 擊 奇 季 急 激 既 籍 績 吉 寄 疾 圾 祭 劑 擠 繫 肌 寂 忌 舌 暨 棘 稽 緝 妓 脊 磯 姬 亟 羈 冀 嫉 汲 畸 伎 悸 嘰 几 稷 笈 乩 瘠 岌 唧 璣 戟 箕 畿 薊 屐 偈 茍 戢 犄 佶 楫 芨 塈 笄 薺 姞 嵇 濈 蒺 蕺 掎 殛 泲 洎 穧 㚻 䳭 丌 丮 亼 亽 伋 剞 勣 卽 咭 嚌 垍 堲 墼 嵴 庴 彐 彑 惎 旡 旣 檝 檵 漈 潗 瀱 痵 瘈 癠 癪 禝 禨 穄 穊 罽 羇 耤 脨 膌 芰 萕 蔇
ㄐㄩ	車 局 具 舉 據 足 劇 居 句 距 聚 巨 拒 俱 懼 矩 菊 橘 拘 鉅 侷 鋸 渠 沮 鞠 咀 遽 莒 炬 颶 苣 据 桔 駒 踞 掬 狙 疽 枸 焗 踽 齟 詎 屨 倨 櫸 罝 雎 裾 鞫 怚 秬 筥 蒟 匊 挶 椐 琚 苴 虡 埧 柜 窶 趄 跼 鮈 㨿 倶 冣 凥 娵 婮 寠 崌 弆 擧 椈 榘 歫 泃 澽 犋 粔 腒 蜛 跙 踘 躹 輂 郹 醵 鋦 鐻 鵙 鶪
ㄑㄧ	其 起 期 氣 七 器 企 奇 啟 棄 汽 妻 旗 契 騎 棲 歧 欺 祇 祈 棋 漆 稽 豈 憩 緝 琪 迄 戚 泣 淇 崎 淒 乞 亟 碁 砌 祺 臍 琦 俟 悽 旂 綺 耆 祁 岐 杞 萁 蹊 萋 錡 凄 葺 畦 槭 騏 汔 訖 圻 磧 蘄 埼 柒 芑 蠐 衹 頎 沏 跂 薺 軝 嘁 慼 棨 綮 亓 屺 懠 攲 綦 謦 鮨 〧 䒗 䫏 丌 亝 呇 咠 唘 啓 娸 帺 愭 慽 憇 敧 斉 朞 栔 棊 榿 檵 炁 犵 玂 玘 疧 盵 磜 禥 綥 艩 芞 芪 藄 蚔 蜞 蟿 褀 諆 郪 鄿 鏚 顣 鬐 魌
ㄑㄩ	去 區 取 趣 曲 趨 驅 屈 娶 軀 渠 璩 苣 嶇 覷 戌 齲 瞿 祛 袪 鴝 蛆 衢 麴 劬 闃 呿 磲 籧 蘧 佢 砠 蠼 鼩 伹 佉 刞 厺 岨 忂 懅 敺 朐 氍 灈 焌 癯 粬 耝 胊 胠 臞 菃 蕖 蛐 蠷 覰 詘 豦 躣 軥 阹 駈 鸜 麮 麯 黢
ㄒㄧ	系 希 習 係 喜 席 息 細 戲 吸 析 洗 溪 惜 繫 稀 悉 棲 夕 犧 兮 昔 嬉 犀 熙 晰 媳 膝 矽 茜 嘻 禧 汐 蟋 熄 徙 烯 蠵 蜥 潟 璽 曦 奚 羲 皙 熹 唏 淅 蓆 晞 翕 囍 欷 硒 檄 腊 舄 葸 僖 屣 巇 綌 螅 恓 潝 窸 肸 咥 樨 瘜 禊 穸 縰 纚 蟢 㢴 㣟 㫺 䤈 傒 凞 匸 卌 厀 呬 喺 噏 嚱 屓 屖 屭 嶲 巂 徯 怸 悕 憙 戯 戱 扢 扱 晳 枲 槢 氥 浠 滊 澙 焈 焟 煕 熈 燨 爔 盻 睎 磎 簁 粞 緆 繋 翖 肹 舾 菥 蓰 蕮 虩
ㄒㄩ	許 需 續 須 序 虛 徐 緒 敘 蓄 噓 畜 旭 恤 婿 栩 酗 鬚 絮 墟 煦 卹 胥 吁 戌 詡 湑 訏 盱 蓿 慉 勗 歔 繻 鱮 勖 呴 洫 侐 喣 垿 嬬 漵 芧 藇 藚 頊 䘏 冔 圩 壻 姁 嬃 敍 旴 昫 欨 欻 歘 殈 獝 珝 砉 糈 緖 縃 虗 蝑 裇 訹 諝 賉 鄦 醑 鑐 魆 魖
ㄓˇ	只 指 止 徵 紙 址 旨 祇 祉 趾 芷 咫 酯 枳 沚 衹 阯 厎 夂 帋 恉 軹 黹
ㄓˉ	之 只 知 支 織 隻 氏 枝 肢 芝 汁 脂 吱 蜘 祗 胝 跂 梔 䵹 卮 巵 搘 椥 榰 泜 秖 胑 鳷 鼅
ㄓˊ	直 值 職 執 植 殖 姪 侄 躑 縶 埴 稙 跖 蹠 値 妷 懫 戠 摭 柣 樴 秷 蘵
ㄓˋ	至 制 治 質 識 製 致 置 志 智 誌 秩 緻 稚 滯 擲 幟 痣 窒 摯 炙 雉 峙 櫛 桎 陟 蛭 痔 躓 寘 輊 忮 彘 帙 疐 豸 郅 鋕 鷙 庤 贄 銍 乿 偫 厔 廌 懥 擿 滍 猘 畤 稺 穉 紩 膣 袟 袠 觶 豑 跱 迣 鉄 鑕 騭 騺
ㄓㄓ	直至 制止 紙質 之至 職志 質直
ㄓㄔ	支持 咫尺 知恥 智齒 指斥 至遲 直尺
ㄓㄕ	只是 知識 指示 致使 制式 執事 志士 智識 指使 直視 致仕 支使 執拾 指事 枳實 芝士 蛭石
ㄓㄖ	值日
ㄓㄗ	質子 姪子 稚子 枝子 梔子 支子
ㄓㄘ	致詞 至此 致辭 值此
ㄓㄙ	致死 治死
ㄓㄚ	查 炸 扎 詐 紮 柵 札 乍 渣 眨 軋 閘 榨 喳 吒 咋 蚱 鍘 柞 搾 楂 劄 䃎 剳 咤 哳 奓 拃 挓 揸 柤 溠 牐 甴 痄 皻 砟 紥 苲 蚻 醡 霅 餷 鮓 鮺 齇
ㄓㄜ	這 者 著 哲 折 乙 遮 摺 輒 蔗 轍 浙 蟄 褶 赭 謫 蜇 螫 鷓 晢 磔 喆 柘 鍺 䗪 乇 乛 啫 嗻 嚞 嫬 悊 淛 着 蟅 讁 讋 輙 鮿
ㄓㄞ	宅 債 祭 側 摘 窄 齋 寨 致癌 窒礙 翟 摯愛 至愛 砦 致哀 瘵 誌哀 亝
ㄓㄟ	這
ㄓㄠ	著 照 找 朝 招 召 趙 昭 兆 罩 肇 爪 嘲 沼 炤 詔 櫂 釗 濯 旐 啁 㷖 啅 垗 曌 爫 皽 着 笊 肈 鉊 駋 鮡 鵫
ㄓㄡ	洲 周 週 州 宙 驟 軸 舟 咒 皺 粥 肘 晝 縐 紂 冑 帚 籀 謅 妯 啁 胄 繇 侜 咮 輈 酎 㑳 㥮 呪 喌 婤 怞 甃 盩 碡 箒 籒 菷 葤 譸 賙 騆 鵃
ㄓㄢ	展 戰 站 佔 占 詹 沾 治安 瞻 斬 嶄 輾 湛 綻 盞 棧 粘 氈 霑 蘸 旃 譫 鱣 搌 襢 偡 呫 嶃 栴 樿 氊 琖 詀 轏 邅 醆 颭 饘 驙 鸇
ㄓㄣ	真 針 鎮 陣 震 珍 振 診 偵 貞 甄 枕 圳 禎 榛 臻 疹 楨 斟 賑 縝 箴 幀 砧 溱 朕 蓁 軫 鍼 畛 稹 鴆 桭 瑱 禛 袗 酖 鬒 弫 揕 昣 湞 獉 珎 瑧 眕 眞 眹 碪 紾 胗 葴 薽 遉 鎭 駗 鱵 鷏 黕 黰
ㄓㄤ	長 張 章 障 掌 漲 帳 彰 丈 脹 仗 璋 蟑 杖 樟 賬 漳 瘴 嶂 獐 幛 鄣 仉 粻 嫜 暲 瞕 粀 鞝 鱆 麞
ㄓㄥ	政 正 整 爭 證 徵 症 鄭 丁 掙 征 蒸 睜 拯 箏 癥 怔 烝 錚 鯖 猙 崢 諍 鉦 掟 篜 証
ㄓㄦ	姪兒
ㄓㄧ	之一 質疑 執意 致意 置疑 直譯 旨意 智顗 致以 製衣
ㄓㄨ	主 著 術 助 住 注 屬 築 竹 逐 註 朱 諸 豬 祝 珠 植物 駐 煮 柱 職務 矚 株 燭 鑄 蛛 囑 貯 茱 侏 蛀 佇 筑 拄 褚 誅 渚 竺 朮 洙 硃 杼 支吾 櫫 麈 銖 炷 箸 織物 躅 瀦 苧 蠋 跦 柷 紵 羜 翥 蓫 馵 ⺮ 丶 壴 宁 斸 櫡 櫧 煑 爥 瘃 砫 窋 竚 筯 舳 蠩 詝 邾 陼 駯 鼄
ㄓㄩ	至於 治癒 智育 值域 值遇 治愚 紙魚 置於 致鬱 芝宇
ㄔˇ	尺 齒 恥 侈 呎 豉 褫 扡 奓 欼 誃
ㄔˉ	吃 癡 痴 喫 嗤 笞 哧 鴟 蚩 絺 螭 摛 魑 黐 媸 彲 樆 瓻 眵 离 粚 郗
ㄔˊ	持 池 遲 馳 匙 弛 墀 坻 箎 踟 彽 竾 篪 茌 蚳 遟
ㄔˋ	赤 斥 翅 熾 叱 啻 飭 敕 鶒 踅 傺 彳 饎 勅 勑 抶 敇 痓 瘛 翄 跮
ㄔㄓ	遲滯
ㄔㄔ	遲遲 吃吃 痴痴
ㄔㄕ	吃食
ㄔㄗ	赤字 斥資 赤子 池子 尺子 翅子
ㄔㄚ	查 差 察 茶 插 叉 剎 岔 喳 碴 詫 嚓 搽 楂 槎 侘 杈 茬 衩 垞 奼 嵖 扠 揷 檫 汊 猹 臿 艖 詧 蹅 鍤 鑔 餷 𥻗
ㄔㄜ	車 尺 徹 撤 扯 澈 掣 坼 硨 呫 屮 撦
ㄔㄞ	差 拆 柴 儕 釵 豺 蠆 瘥 囆 痴騃 茝
ㄔㄠ	超 朝 潮 巢 吵 炒 抄 鈔 嘲 綽 剿 焯 晁 勦 弨 怊 耖 訬 鼂
ㄔㄡ	抽 籌 臭 醜 酬 愁 仇 疇 綢 稠 丑 惆 躊 瞅 讎 瘳 杻 儔 裯 㐜 丒 侴 偢 吃藕 吜 嬦 幬 懤 搊 杽 椆 殠 燽 犨 犫 矁 篘 紬 詶 讐 酧 醻 鯈
ㄔㄢ	產 單 禪 纏 顫 蟬 闡 嶄 摻 懺 鏟 剷 潺 嬋 饞 攙 孱 讒 諂 吃案 嘽 巉 蟾 廛 瀍 羼 襜 梴 毚 覘 躔 丳 僝 儃 儳 剗 劖 嚵 囅 嵼 嶃 幨 旵 欃 滻 澶 瀺 燀 産 磛 纒 艬 蕆 讇 辿 鑱 閳 韂 驏
ㄔㄣ	陳 稱 沈 沉 晨 臣 趁 塵 辰 襯 忱 琛 讖 瞋 嗔 宸 諶 茞 煁 疢 磣 郴 儭 抻 搷 梣 櫬 爯 綝 蔯 賝 趂 齔
ㄔㄤ	長 場 常 廠 唱 償 嘗 昌 腸 暢 倡 嚐 倘 娼 敞 裳 悵 猖 昶 嫦 徜 菖 氅 萇 鯧 惝 韔 倀 閶 鬯 鱨 錩 㦂 䠀 厰 塲 甞 膓 誯 鋹 镸 鼚
ㄔㄥ	成 程 稱 城 承 盛 呈 誠 乘 撐 懲 澄 橙 埕 秤 逞 騁 丞 晟 瞠 鐺 噌 裎 澂 琤 塍 檉 棖 偁 赬 酲 鋮 䞓 堘 宬 庱 悜 晿 椉 樘 橕 爯 牚 珵 珹 罉 蟶 郕 頳 𩧢
ㄔㄧ	遲疑
ㄔㄨ	出 處 除 初 楚 觸 礎 儲 廚 齣 畜 雛 櫥 矗 鋤 絀 躇 芻 搐 杵 黜 褚 怵 滁 俶 蜍 亍 鶵 樗 篨 躕 楮 㕑 䢺 儊 処 媰 岀 幮 憷 歜 濋 耡 蒢 蒭 豖 貙 遲誤 鄐 鉏 閦 馳騖 馳鶩
ㄔㄩ	馳譽
ㄕˇ	使 始 史 駛 屎 矢 豕 乨 兘 宩
ㄕˉ	師 失 施 詩 獅 濕 屍 溼 虱 尸 蝨 蓍 鳲 溮 絁 葹 邿 釃 鰤 鳾
ㄕˊ	時 十 實 什 識 食 石 拾 蝕 鰣 蒔 湜 寔 塒 〸 䂖 旹 炻 祏 飠 鼫 鼭
ㄕˋ	是 事 市 式 示 視 世 士 試 似 勢 適 室 釋 氏 飾 逝 誓 仕 侍 嗜 拭 噬 柿 峙 恃 筮 舐 弒 軾 蒔 螫 奭 貰 丗 亊 卋 忕 戺 揓 昰 柹 栻 澨 眂 眎 眡 舓 襫 諟 諡 謚 鈰
ㄕ˙	匙
ㄕㄓ	實質 失職 食指 市值 試紙 世職 失智 實值 實職 市制 施治 矢誌 石質 示指 試製 適值
ㄕㄔ	市尺
ㄕㄕ	事實 實施 時時 適時 逝世 失事 事事 時事 世事 史詩 實事 史實 世世 誓師 時勢 石獅 失勢 時式 失實 事勢 失恃 實時 施事 施食 石屎
ㄕㄖ	是日 時日 事兒
ㄕㄗ	師資 十字 獅子 識字 柿子 士子 式子 世子 蝨子 勢子 拭子 釋子
ㄕㄘ	詩詞 誓詞 實詞 是次 飾詞
ㄕㄙ	十四 誓死 食肆
ㄕㄚ	殺 沙 砂 莎 傻 啥 紗 廈 煞 剎 鯊 霎 痧 鎩 裟 嗄 倽 儍 唼 帹 樧 歃 箑 翣 萐 魦
ㄕㄜ	社 設 攝 射 折 涉 舍 蛇 捨 拾 舌 奢 赦 懾 畬 麝 賒 佘 韘 歙 闍 厙 慴 猞 䠶 奓 揲 檨 灄 畲 蔎 虵 蠂 輋 騇
ㄕㄞ	色 篩 曬 晒 籭
ㄕㄟ	誰
ㄕㄠ	少 召 紹 燒 稍 哨 邵 梢 韶 勺 杓 劭 芍 捎 苕 卲 潲 玿 筲 蛸 㲈 䈰 弰 旓 睄 艄 莦 髾
ㄕㄡ	手 受 收 首 授 守 售 壽 瘦 獸 狩 綬 掱 収 夀 扌 艏
ㄕㄢ	山 單 善 閃 刪 珊 禪 扇 杉 擅 衫 摻 膳 煽 陝 繕 姍 訕 跚 搧 汕 羶 贍 鱔 疝 嬗 舢 潸 赸 鱣 墠 芟 剡 膻 䍹 傓 埏 彡 掞 摲 狦 睒 穇 縿 羴 苫 蟮 蟺 謆 譱 鄯 釤 食安 饍 騸 鱓
ㄕㄣ	什 身 參 神 深 甚 審 申 沈 伸 慎 腎 紳 滲 莘 嬸 呻 瀋 蔘 砷 燊 哂 娠 蜃 施恩 甡 矧 葚 諗 椹 詵 駪 㕥 㴱 侁 兟 妽 屾 愼 昚 曑 氠 渖 珅 瘮 瞫 示恩 籸 胂 脤 葠 蓡 讅 鰺
ㄕㄤ	上 商 傷 尚 賞 湯 裳 晌 觴 殤 熵 丄 垧 埫 墒 尙 漡 緔 蠰 謪 鞝
ㄕㄥ	生 聲 省 升 勝 盛 聖 剩 乘 昇 牲 繩 笙 賸 晟 甥 陞 泩 㗂 呏 圣 嵊 曻 澠 眚 鼪
ㄕㄦ	十二 時而
ㄕㄧ	十一 是以 十億 事宜 適宜 示意 施以 詩意 時宜 失意 釋義 拾遺 釋疑 適意 使役 失儀 失宜 失憶 實意 屎意 濕衣 視藝 試衣
ㄕㄨ	書 數 術 屬 樹 十五 署 輸 述 熟 束 殊 舒 食物 淑 鼠 事務 疏 暑 叔 尌 事物 蔬 實務 紓 薯 贖 抒 豎 庶 樞 恕 失誤 梳 墅 塾 俞 曙 孰 實物 蜀 黍 漱 姝 倏 飾物 朮 菽 藷 糬 戍 澍 疋 殳 癙 秫 綀 鉥 世務 丨 倐 儵 尗 庻 忬 拾物 摴 攄 杸 橾 毹 沭 潄 疎 竪 翛 腧 裋 襡 踈 钃 陎 鼡
ㄕㄩ	食慾 施與 鰣魚 施予 嗜慾 失語
ㄖˋ	日 馹 囸 氜 鈤
ㄖ˙	兒
ㄖㄓ	日誌 日至
ㄖㄕ	日式 日食 日蝕
ㄖㄖ	日日
ㄖㄗ	日子
ㄖㄜ	熱 若 惹 喏 爇
ㄖㄠ	擾 繞 饒 嬈 遶 橈 蕘
ㄖㄡ	肉 柔 揉 蹂 鞣 糅 厹 宍 禸 腬 葇 輮 韖
ㄖㄢ	然 染 燃 冉 髯 苒 䎃 冄 嘫 珃 肰 蚦 蚺 蛅 髥
ㄖㄣ	人 任 認 仁 忍 韌 刃 飪 稔 紉 壬 紝 荏 妊 軔 仞 訒 牣 肕 衽 亻 姙 棯 祍 絍 腍 荵 袵 靭 靱 餁 鵀
ㄖㄤ	讓 壤 嚷 攘 穰 瀼 瓤 禳 勷 蘘
ㄖㄥ	仍 扔 礽 芿 陾
ㄖㄧ	日益 日裔
ㄖㄨ	如 入 女 乳 儒 辱 汝 茹 濡 孺 蠕 褥 嚅 縟 溽 洳 薷 襦 醹 銣 嗕 擩 曘 筎 蓐 蕠 蝡 袽 鄏 顬 鴽
ㄖㄩ	日語
ㄗˇ	子 仔 姊 紫 梓 籽 訾 笫 滓 秭 耔 呰 姉 矷 胏 茈 虸
ㄗˉ	資 仔 滋 姿 諮 茲 吱 孳 孜 咨 貲 訾 緇 錙 髭 齜 菑 呲 鎡 鯔 鼒 嗞 孖 孶 嵫 淄 澬 玆 粢 茊 觜 谘 趑 趦 輜 鄑 鰦
ㄗˋ	自 字 漬 恣 胾 剚 扻 牸 眥 眦 胔
ㄗ˙	子
ㄗㄓ	自治 自製 自制 資質 自指
ㄗㄔ	自持
ㄗㄕ	姿勢 子時 自始 子實 滋事 自視 自恃 姿式 籽實 自失
ㄗㄖ	子兒
ㄗㄗ	姊姊 孜孜 孳孳
ㄗㄘ	字詞 自此
ㄗㄙ	自私 子嗣 恣肆
ㄗㄚ	雜 咱 紮 砸 匝 咋 咂 拶 臢 帀 紥 襍
ㄗㄜ	則 責 擇 澤 仄 嘖 咋 幘 賾 齰 崱 昃 矠 笮 簀 舴 迮 齚
ㄗㄞ	在 再 載 災 仔 栽 宰 哉 自愛 菑 崽 儎 扗 烖 甾 縡
ㄗㄟ	賊 戝 鰂
ㄗㄠ	造 早 遭 糟 澡 燥 噪 藻 躁 皂 灶 鑿 棗 蚤 自傲 譟 蹧 皁 傮 唕 唣 慥 梍 煰 璪 竃 竈 簉 艁 薻 趮
ㄗㄡ	走 奏 鄒 揍 騶 棸 緅 諏 鄹 陬 掫 菆 赱 郰 鯫 黀 齱
ㄗㄢ	暫 贊 讚 咱 攢 資安 簪 瓚 寁 拶 偺 喒 糌 儹 昝 桚 欑 灒 簮 讃 賛 趲 蹔 酇 鏨
ㄗㄣ	怎 譖
ㄗㄤ	藏 臟 髒 葬 贓 臧 奘 牂 塟 贜 駔
ㄗㄥ	曾 增 綜 贈 憎 橧 甑 矰 繒 罾 鄫 鋥
ㄗㄧ	恣意 字義 自縊 自抑
ㄗㄨ	組 族 足 祖 租 阻 卒 詛 俎 鏃 崒 菹 䘚 卆 哫 珇 葅
ㄗㄩ	自語 自娛 自喻 子域 恣欲 自愈 鯔魚
ㄘˇ	此 玼 佌 泚 跐
ㄘˉ	差 刺 疵 呲 偨 骴
ㄘˊ	詞 辭 慈 瓷 茲 磁 雌 祠 茨 鶿 䛐 糍 茈 辤 餈 鴜 鷀
ㄘˋ	次 刺 賜 伺 莿 佽 刾 朿 絘 蛓
ㄘㄓ	辭職 次之 此致
ㄘㄕ	此時 此事 辭世 磁石 刺史 慈石 瓷實 雌獅
ㄘㄖ	次日 刺兒
ㄘㄗ	次子 刺字
ㄘㄘ	此次
ㄘㄙ	賜死 刺死
ㄘㄚ	擦 嚓 礤
ㄘㄜ	策 測 冊 側 廁 惻 畟 筴 茦 䇲 厠 筞 萴
ㄘㄞ	才 財 採 材 彩 菜 蔡 裁 猜 采 踩 纔 綵 睬 慈愛 偲 倸 埰 寀 慈藹 縩 跴
ㄘㄠ	草 操 曹 槽 糙 嘈 艸 漕 螬 懆 肏 撡 艚 艹 蓸 鄵
ㄘㄡ	湊 腠 輳
ㄘㄢ	參 餐 殘 慘 燦 慚 蠶 璨 孱 粲 憯 驂 㕘 叅 喰 慙 朁 歺 湌 飡 黲
ㄘㄣ	參 岑 涔 嵾
ㄘㄤ	藏 蒼 倉 艙 滄 傖 鶬 凔 鑶
ㄘㄥ	曾 層 蹭 噌 嶒
ㄘㄦ	刺耳
ㄘㄧ	詞義 詞意
ㄘㄨ	促 粗 卒 醋 猝 簇 徂 蹴 酢 蹙 踧 麤 䠞 殂 瘯 皻 蔟 觕 踤 蹵 麁 麄
ㄘㄩ	次於 詞語 賜予 賜與
ㄙˇ	死
ㄙˉ	司 思 斯 私 絲 撕 廝 嘶 鷥 虒 偲 緦 螄 鍶 㟃 厮 厶 噝 澌 禠 糹 罳 覗 颸
ㄙˋ	四 似 食 寺 廁 伺 飼 肆 祀 俟 嗣 姒 駟 兕 巳 泗 耜 涘 汜 笥 〤 䦉 亖 佀 儩 柶 禩 竢 飤
ㄙㄓ	四肢 司職
ㄙㄕ	四十 四時 死屍 私事 巳時 死士
ㄙㄗ	私自 嗣子
ㄙㄘ	四次
ㄙㄙ	死死 偲偲
ㄙㄚ	卅 薩 撒 灑 颯 挲 䬃 仨 攃 潵 鈒 靸
ㄙㄜ	色 塞 瑟 澀 嗇 銫 穡 歮 歰 澁 濇 瀒 璱 穯 譅 轖
ㄙㄞ	賽 塞 腮 鰓 僿 嘥 噻 揌 顋
ㄙㄠ	掃 騷 嫂 搔 臊 埽 繰 慅 喿 氉 瘙 繅 颾 髞
ㄙㄡ	搜 蒐 艘 嗽 颼 擻 藪 餿 叟 嗖 廋 瞍 籔 嗾 廀 溲 獀 螋 謏 鄋 鎪
ㄙㄢ	三 參 散 傘 糝 鬖 〣 㪚 叁 叄 弎 毿 潵 繖 鏾 饊
ㄙㄣ	森 槮
ㄙㄤ	喪 桑 嗓 搡 桒 磉 顙
ㄙㄥ	僧 鬙
ㄙㄧ	思議 司儀 肆意 四溢
ㄙㄨ	速 訴 素 蘇 塑 俗 宿 肅 溯 甦 酥 穌 粟 夙 愫 簌 愬 囌 蔌 窣 謖 僳 樕 㝛 嗉 圱 榡 樎 橚 泝 涑 玊 祀物 膆 蘓 觫 遡 遫 餗 驌 鱐 鷫
ㄙㄩ	私語 私欲 絲雨 飼育
ㄚˇ	啊
ㄚˉ	啊 阿 呵 腌 吖 錒
ㄚˊ	啊 嗄
ㄚˋ	啊
ㄚ˙	啊
ㄚㄧ	阿姨
ㄛˇ	嚄
ㄛˉ	喔 噢
ㄛˊ	哦
ㄛˋ	哦
ㄛ˙	喔 哦
ㄜˇ	惡
ㄜˉ	阿 婀 屙 妸 娿
ㄜˊ	額 俄 哦 鵝 娥 蛾 蚵 峨 訛 莪 吪 䖸 䳗 䳘 囮 峩 涐 皒 譌 鋨 頟 鵞
ㄜˋ	惡 餓 噁 扼 遏 厄 噩 愕 呃 鱷 顎 堊 鄂 鶚 咢 諤 萼 阨 搤 鍔 堮 軛 閼 呝 咹 堨 姶 崿 嶭 戹 枙 砈 苊 蕚 詻 軶 頞 餩 鰐 齶
ㄜㄓ	遏止 遏制 扼制
ㄜㄕ	屙屎 惡事 惡誓
ㄜㄗ	蚵仔 蛾子 訛字
ㄜㄙ	餓死 扼死
ㄜㄜ	皒皒
ㄜㄦ	俄而 俄爾
ㄜㄧ	惡意 遏抑
ㄜㄨ	訛誤 俄烏
ㄜㄩ	鱷魚 阿諛 俄語 惡語
ㄞˇ	矮 欸 藹 靄 噯 毐
ㄞˉ	哀 埃 挨 唉 欸 哎 娭 銰 鎄
ㄞˊ	癌 挨 捱 皚 嘊 敱 磑 騃
ㄞˋ	愛 礙 艾 唉 隘 曖 噯 璦 靉 僾 餲 㝵 㤅 嗌 壒 嬡 瞹 砹 薆 鑀
ㄞㄓ	愛知
ㄞㄕ	礙事 哀失 艾實
